"PC1","PC2","PC3","System","Type"
-395.430600829314,43.3293901682308,8.36047058887237,"AZD5305","Unknown"
-391.506641148981,50.93240890447,1.83813954744687,"AZD5305","Unknown"
-391.823348813072,51.2807484570868,-28.8664684638835,"AZD5305","Unknown"
-418.526386913745,47.7094650857645,-41.3235686375678,"AZD5305","Unknown"
-407.683449937573,47.6009304232881,-43.8748838033016,"AZD5305","Unknown"
-390.376837698052,37.2361099792378,-61.5235794149146,"AZD5305","Unknown"
-406.156452164946,27.6229432905732,-66.735546094472,"AZD5305","Unknown"
-409.374713923672,4.21561489361894,-61.5247724549015,"AZD5305","Unknown"
-391.841024634158,11.7994385918299,-55.3944054328959,"AZD5305","Unknown"
-391.169182335317,12.4461904219246,-52.5645083995989,"AZD5305","Unknown"
-397.818941627641,8.75337344806932,-63.0402257992123,"AZD5305","Unknown"
-394.333107929981,-8.15979727285718,-79.6036851821358,"AZD5305","Unknown"
-374.810745872264,-16.5750943755627,-79.7017269577804,"AZD5305","Unknown"
-363.043476084874,-38.5385689789987,-80.8815147575477,"AZD5305","Unknown"
-366.277410530536,-29.1102295056491,-67.0561360296598,"AZD5305","Unknown"
-353.152708505972,-45.0083959314756,-74.7825286767458,"AZD5305","Unknown"
-345.162519344842,-62.7043244619885,-82.717622182342,"AZD5305","Unknown"
-345.032417576482,-54.3416287043969,-86.8897432740687,"AZD5305","Unknown"
-343.648661595187,-46.822474715436,-93.3207845060179,"AZD5305","Unknown"
-341.199182353455,-44.6592195645059,-84.3782587826991,"AZD5305","Unknown"
-357.307216405937,-61.2441617684573,-77.7261258770813,"AZD5305","Unknown"
-365.954400804547,-72.3958655839697,-77.6007983646136,"AZD5305","Unknown"
-367.186662823724,-66.8646120367664,-76.2976656739435,"AZD5305","Unknown"
-371.628375655316,-53.2201215322316,-89.1647011487394,"AZD5305","Unknown"
-372.090684725375,-52.1203395271716,-73.3499502554544,"AZD5305","Unknown"
-377.142154364915,-54.1536582959823,-84.608211634018,"AZD5305","Unknown"
-370.285309469324,-53.9288321563099,-99.2031639501185,"AZD5305","Unknown"
-364.018291630401,-62.7404347040045,-83.3428560928065,"AZD5305","Unknown"
-345.932065839403,-56.1943800096375,-106.885279965071,"AZD5305","Unknown"
-349.047132015651,-54.3839335629842,-95.5617879830773,"AZD5305","Unknown"
-347.673841056154,-44.8345489792601,-78.006034762357,"AZD5305","Unknown"
-359.616962990741,-54.4356672600605,-93.3374101775549,"AZD5305","Unknown"
-370.012195359929,-58.0591243830951,-98.2791187333832,"AZD5305","Unknown"
-373.141738113102,-73.1243024728052,-87.1074066517848,"AZD5305","Unknown"
-383.167043476629,-68.1735184200477,-100.614424883373,"AZD5305","Unknown"
-385.551421300527,-68.8236409873502,-106.284247788808,"AZD5305","Unknown"
-375.020237834844,-73.9548317222754,-100.894104350666,"AZD5305","Unknown"
-381.796350262451,-74.0046905056142,-95.3567509789249,"AZD5305","Unknown"
-378.042043833583,-68.9310344687289,-103.487436187852,"AZD5305","Unknown"
-375.159207083238,-60.4547522653939,-100.128737180747,"AZD5305","Unknown"
-371.1412308552,-71.3428858039183,-109.941400003963,"AZD5305","Unknown"
-372.252232528086,-83.559763839621,-98.3097521997043,"AZD5305","Unknown"
